property_id,seating_type,industry_anzsic4_code,location_zip,clue_small_area,trading_name,x_coordinate,location_address,location_city,location_state,number_of_seats,ogc_fid,industry_anzsic4_description,y_coordinate,census_year,street_address, base_property_id,block_id
"110535","Seats - Outdoor","4511",null,"Port Melbourne","Ocean View Cafe Port Melbourne","144.9052161",null,null,null,"30",41630,"Cafes and Restaurants","-37.82483593","2017","263-329 Lorimer Street","110535","785"
"101171","Seats - Indoor","4511",null,"Melbourne (CBD)","Dosa Corner","144.9553253",null,null,null,"50",41634,"Cafes and Restaurants","-37.81622847","2017","612-620 Bourke Street","101171","51"
"105929","Seats - Indoor","4511",null,"Melbourne (CBD)","Healthy Sushi Melbourne","144.9632938",null,null,null,"24",41651,"Cafes and Restaurants","-37.81554941","2017","335-349 Little Collins Street","105929","34"
"103325","Seats - Indoor","4511",null,"Melbourne (CBD)","Hudsons Elizabeth Street","144.9641934",null,null,null,"31",41675,"Cafes and Restaurants","-37.81591326","2017","84-86 Elizabeth Street","103325","35"
"109388","Seats - Indoor","4511",null,"Melbourne (CBD)","The Moat Bar & Cafe","144.965306",null,null,null,"40",41677,"Cafes and Restaurants","-37.80976881","2017","304-328 Swanston Street","109388","86"
"110690","Seats - Indoor","4511",null,"Melbourne (CBD)","Cafe Victoria","144.9572395",null,null,null,"38",41691,"Cafes and Restaurants","-37.80745984","2017","507-523 Elizabeth Street","108118","113"
"103944","Seats - Indoor","4520",null,"Melbourne (CBD)","The Mill House Bar","144.9652979",null,null,null,"120",41704,"Pubs, Taverns and Bars","-37.81724201","2017","277-279 Flinders Lane","103944","15"
"103618","Seats - Indoor","4511",null,"Melbourne (CBD)","Bros Sushi","144.9699756",null,null,null,"12",41714,"Cafes and Restaurants","-37.80941489","2017","242-284 Exhibition Street","103618","78"
"593697","Seats - Indoor","4511",null,"East Melbourne","Gourmet Pizza Bar","144.9856254",null,null,null,"50",41730,"Cafes and Restaurants","-37.81004657","2017","162 Albert Street","109643","613"
"105690","Seats - Outdoor","4511",null,"Melbourne (CBD)","Carribbean Grilled Fish by China Chilli","144.9663534",null,null,null,"16",41749,"Cafes and Restaurants","-37.81133175","2017","203-207 Lonsdale Street","105690","66"
"105746","Seats - Indoor","4512",null,"Melbourne (CBD)","Gong Cha","144.9630189",null,null,null,"12",41765,"Takeaway Food Services","-37.81073331","2017","183-265 La Trobe Street","105746","85"
"103908","Seats - Indoor","4511",null,"Parkville","Aruba Espresso Cafe","144.9501914",null,null,null,"32",41771,"Cafes and Restaurants","-37.79382016","2017","48-50 Flemington Road","103908","931"
"623559","Seats - Indoor","4400",null,"Southbank","Hilton Melbourne South Wharf","144.9523782",null,null,null,"250",41779,"Accommodation","-37.82539976","2017","2 Convention Centre Place","110484","804"
"106228","Seats - Indoor","4512",null,"Carlton","Jauja ","144.9671514",null,null,null,"14",41783,"Takeaway Food Services","-37.80123703","2017","254 Lygon Street","106228","247"
"108079","Seats - Outdoor","4511",null,"Melbourne (CBD)","Speck Cafe","144.9597543",null,null,null,"2",41793,"Cafes and Restaurants","-37.81355361","2017","221-231 Queen Street","108079","63"
"106100","Seats - Outdoor","4511",null,"Carlton","Kokoblack","144.966446",null,null,null,"30",41803,"Cafes and Restaurants","-37.80178513","2017","167 Lygon Street","106100","246"
